"","timestamp","update_timestamp","south","north","east","central","west"
"1","2016-02-11T01:00:00+08:00","",6,7,7,3,5
"2","2016-02-11T02:00:00+08:00","",5,5,4,9,5
"3","2016-02-11T03:00:00+08:00","",11,7,7,6,4
"4","2016-02-11T04:00:00+08:00","",5,5,6,8,4
"5","2016-02-11T05:00:00+08:00","",5,6,6,3,3
"6","2016-02-11T06:00:00+08:00","",5,5,4,4,4
"7","2016-02-11T07:00:00+08:00","",3,4,9,3,3
"8","2016-02-11T08:00:00+08:00","",13,5,6,5,5
"9","2016-02-11T09:00:00+08:00","",5,4,7,5,4
"10","2016-02-11T10:00:00+08:00","",6,11,9,5,8
"11","2016-02-11T11:00:00+08:00","",7,6,5,5,5
"12","2016-02-11T12:00:00+08:00","2016-02-11T12:16:18+08:00",4,8,5,5,10
"13","2016-02-11T13:00:00+08:00","2016-02-11T13:11:18+08:00",7,8,7,6,6
"14","2016-02-11T14:00:00+08:00","2016-02-11T14:06:18+08:00",6,8,8,8,11
"15","2016-02-11T15:00:00+08:00","2016-02-11T15:11:18+08:00",7,4,4,7,9
"16","2016-02-11T16:00:00+08:00","2016-02-11T16:16:19+08:00",6,5,6,10,7
"17","2016-02-11T17:00:00+08:00","2016-02-11T17:06:22+08:00",6,6,7,6,5
"18","2016-02-11T18:00:00+08:00","2016-02-11T18:16:18+08:00",4,6,6,6,7
"19","2016-02-11T19:00:00+08:00","2016-02-11T19:11:21+08:00",8,7,10,7,10
"20","2016-02-11T20:00:00+08:00","2016-02-11T20:11:19+08:00",8,9,8,10,7
"21","2016-02-11T21:00:00+08:00","2016-02-11T21:16:20+08:00",9,11,15,10,12
"22","2016-02-11T22:00:00+08:00","2016-02-11T22:11:18+08:00",8,10,7,14,8
"23","2016-02-11T23:00:00+08:00","2016-02-11T23:16:19+08:00",7,9,14,11,10
"24","2016-02-12T01:00:00+08:00","2016-02-12T01:06:19+08:00",8,5,15,19,7
"25","2016-02-12T02:00:00+08:00","2016-02-12T02:11:18+08:00",11,13,13,11,9
"26","2016-02-12T03:00:00+08:00","2016-02-12T03:11:20+08:00",10,8,8,11,10
"27","2016-02-12T04:00:00+08:00","2016-02-12T04:11:18+08:00",12,6,11,7,5
"28","2016-02-12T05:00:00+08:00","2016-02-12T05:16:18+08:00",3,3,10,8,9
"29","2016-02-12T06:00:00+08:00","2016-02-12T06:11:19+08:00",10,7,8,8,4
"30","2016-02-12T07:00:00+08:00","2016-02-12T07:16:19+08:00",8,7,8,5,6
"31","2016-02-12T08:00:00+08:00","2016-02-12T08:06:18+08:00",18,12,11,7,6
"32","2016-02-12T09:00:00+08:00","2016-02-12T09:11:21+08:00",7,8,11,7,12
"33","2016-02-12T10:00:00+08:00","2016-02-12T10:16:20+08:00",5,9,10,9,6
"34","2016-02-12T11:00:00+08:00","2016-02-12T11:11:18+08:00",8,5,11,12,18
"35","2016-02-12T16:00:00+08:00","2016-02-12T16:36:17+08:00",13,9,9,9,8
"36","2016-02-12T17:00:00+08:00","2016-02-12T17:11:19+08:00",14,9,17,12,11
"37","2016-02-12T18:00:00+08:00","2016-02-12T18:11:21+08:00",20,13,14,21,8
"38","2016-02-12T19:00:00+08:00","2016-02-12T19:06:19+08:00",5,12,5,6,7
"39","2016-02-12T20:00:00+08:00","2016-02-12T20:16:20+08:00",7,8,5,3,3
"40","2016-02-12T21:00:00+08:00","2016-02-12T21:11:20+08:00",9,6,7,9,2
"41","2016-02-12T22:00:00+08:00","2016-02-12T22:16:18+08:00",15,6,6,17,11
"42","2016-02-12T23:00:00+08:00","2016-02-12T23:06:19+08:00",21,6,10,22,4
"43","2016-02-13T01:00:00+08:00","2016-02-13T01:16:18+08:00",13,8,10,17,12
"44","2016-02-13T02:00:00+08:00","2016-02-13T02:06:18+08:00",9,13,9,18,16
"45","2016-02-13T03:00:00+08:00","2016-02-13T03:11:18+08:00",14,10,11,20,13
"46","2016-02-13T04:00:00+08:00","2016-02-13T04:11:19+08:00",9,6,8,10,13
"47","2016-02-13T05:00:00+08:00","2016-02-13T05:11:18+08:00",5,8,8,6,7
"48","2016-02-13T06:00:00+08:00","2016-02-13T06:11:19+08:00",5,6,7,5,6
"49","2016-02-13T07:00:00+08:00","2016-02-13T07:16:19+08:00",8,5,7,4,4
"50","2016-02-13T08:00:00+08:00","2016-02-13T08:11:18+08:00",14,6,33,7,5
"51","2016-02-13T09:00:00+08:00","2016-02-13T09:06:18+08:00",7,6,6,4,5
"52","2016-02-13T10:00:00+08:00","2016-02-13T10:11:20+08:00",3,14,9,4,8
"53","2016-02-13T11:00:00+08:00","2016-02-13T11:11:20+08:00",5,16,7,4,6
"54","2016-02-13T12:00:00+08:00","2016-02-13T12:11:20+08:00",6,11,16,6,10
"55","2016-02-13T13:00:00+08:00","2016-02-13T13:11:18+08:00",9,10,12,11,11
"56","2016-02-13T14:00:00+08:00","2016-02-13T14:11:20+08:00",13,8,9,16,13
"57","2016-02-13T15:00:00+08:00","2016-02-13T15:16:18+08:00",11,5,8,8,8
"58","2016-02-13T16:00:00+08:00","2016-02-13T16:11:18+08:00",5,8,18,9,6
"59","2016-02-13T17:00:00+08:00","2016-02-13T17:06:20+08:00",13,9,12,9,8
"60","2016-02-13T18:00:00+08:00","2016-02-13T18:11:18+08:00",7,4,5,6,5
"61","2016-02-13T19:00:00+08:00","2016-02-13T19:11:22+08:00",5,8,17,9,6
"62","2016-02-13T20:00:00+08:00","2016-02-13T20:16:20+08:00",3,10,12,8,4
"63","2016-02-13T21:00:00+08:00","2016-02-13T21:11:19+08:00",4,6,9,9,3
"64","2016-02-13T22:00:00+08:00","2016-02-13T22:06:18+08:00",6,7,10,6,9
"65","2016-02-13T23:00:00+08:00","2016-02-13T23:11:20+08:00",11,15,12,9,11
"66","2016-02-14T01:00:00+08:00","2016-02-14T01:06:18+08:00",6,12,10,10,15
"67","2016-02-14T02:00:00+08:00","2016-02-14T02:16:18+08:00",9,20,9,8,8
"68","2016-02-14T03:00:00+08:00","2016-02-14T03:11:18+08:00",8,15,9,11,12
"69","2016-02-14T04:00:00+08:00","2016-02-14T04:06:19+08:00",8,15,10,6,8
"70","2016-02-14T05:00:00+08:00","2016-02-14T05:16:22+08:00",12,7,9,7,10
"71","2016-02-14T06:00:00+08:00","2016-02-14T06:11:18+08:00",6,5,10,6,9
"72","2016-02-14T07:00:00+08:00","2016-02-14T07:16:19+08:00",7,7,10,12,11
"73","2016-02-14T08:00:00+08:00","2016-02-14T08:06:19+08:00",12,8,9,8,8
"74","2016-02-14T09:00:00+08:00","2016-02-14T09:16:19+08:00",11,8,10,4,9
"75","2016-02-14T10:00:00+08:00","2016-02-14T10:11:18+08:00",3,6,7,5,7
"76","2016-02-14T11:00:00+08:00","2016-02-14T11:11:18+08:00",7,10,14,9,6
"77","2016-02-14T12:00:00+08:00","2016-02-14T12:11:18+08:00",7,6,9,17,10
"78","2016-02-14T13:00:00+08:00","2016-02-14T13:11:17+08:00",15,4,15,16,15
"79","2016-02-14T14:00:00+08:00","2016-02-14T14:06:17+08:00",19,12,13,10,15
"80","2016-02-14T15:00:00+08:00","2016-02-14T15:16:18+08:00",9,18,12,26,25
"81","2016-02-14T16:00:00+08:00","2016-02-14T16:11:17+08:00",22,6,9,14,3
"82","2016-02-14T17:00:00+08:00","2016-02-14T17:16:18+08:00",13,9,9,21,6
"83","2016-02-14T18:00:00+08:00","2016-02-14T18:11:19+08:00",11,7,10,12,8
"84","2016-02-14T19:00:00+08:00","2016-02-14T19:06:18+08:00",10,9,11,9,3
"85","2016-02-14T20:00:00+08:00","2016-02-14T20:11:19+08:00",4,13,10,7,6
"86","2016-02-14T21:00:00+08:00","2016-02-14T21:11:20+08:00",14,4,16,15,6
"87","2016-02-14T22:00:00+08:00","2016-02-14T22:11:19+08:00",15,14,12,8,8
"88","2016-02-14T23:00:00+08:00","2016-02-14T23:11:19+08:00",14,16,18,15,5
"89","2016-02-15T01:00:00+08:00","2016-02-15T01:11:18+08:00",19,13,13,18,12
"90","2016-02-15T02:00:00+08:00","2016-02-15T02:11:18+08:00",16,8,17,18,15
"91","2016-02-15T03:00:00+08:00","2016-02-15T03:11:20+08:00",7,8,12,9,19
"92","2016-02-15T04:00:00+08:00","2016-02-15T04:11:19+08:00",9,8,11,7,12
"93","2016-02-15T05:00:00+08:00","2016-02-15T05:16:17+08:00",6,11,11,7,12
"94","2016-02-15T06:00:00+08:00","2016-02-15T06:11:20+08:00",10,16,9,7,6
"95","2016-02-15T07:00:00+08:00","2016-02-15T07:16:19+08:00",5,10,8,8,13
"96","2016-02-15T08:00:00+08:00","2016-02-15T08:11:19+08:00",16,14,12,11,11
"97","2016-02-15T09:00:00+08:00","2016-02-15T09:16:18+08:00",13,15,7,12,10
"98","2016-02-15T10:00:00+08:00","2016-02-15T10:06:18+08:00",11,10,13,7,10
"99","2016-02-15T11:00:00+08:00","2016-02-15T11:11:18+08:00",15,14,22,5,16
"100","2016-02-15T12:00:00+08:00","2016-02-15T12:16:18+08:00",6,11,13,10,5
"101","2016-02-15T13:00:00+08:00","2016-02-15T13:11:20+08:00",14,9,19,15,13
"102","2016-02-15T14:00:00+08:00","2016-02-15T14:11:20+08:00",16,16,19,14,4
"103","2016-02-15T15:00:00+08:00","2016-02-15T15:06:19+08:00",13,9,16,15,7
"104","2016-02-15T16:00:00+08:00","2016-02-15T16:16:18+08:00",18,12,14,15,12
"105","2016-02-15T17:00:00+08:00","2016-02-15T17:16:18+08:00",6,11,16,7,14
"106","2016-02-15T18:00:00+08:00","2016-02-15T18:06:20+08:00",14,8,8,12,13
"107","2016-02-15T19:00:00+08:00","2016-02-15T19:16:20+08:00",7,8,16,6,15
"108","2016-02-15T20:00:00+08:00","2016-02-15T20:11:18+08:00",9,12,19,15,6
"109","2016-02-15T21:00:00+08:00","2016-02-15T21:06:18+08:00",10,6,6,12,9
"110","2016-02-15T22:00:00+08:00","2016-02-15T22:11:20+08:00",11,11,11,10,12
"111","2016-02-15T23:00:00+08:00","2016-02-15T23:06:20+08:00",9,8,11,17,11
"112","2016-02-16T01:00:00+08:00","2016-02-16T01:06:19+08:00",7,21,13,16,8
"113","2016-02-16T02:00:00+08:00","2016-02-16T02:06:19+08:00",17,31,18,13,15
"114","2016-02-16T03:00:00+08:00","2016-02-16T03:16:19+08:00",19,16,18,23,15
"115","2016-02-16T04:00:00+08:00","2016-02-16T04:06:18+08:00",14,13,12,12,12
"116","2016-02-16T05:00:00+08:00","2016-02-16T05:16:17+08:00",6,5,7,6,10
"117","2016-02-16T06:00:00+08:00","2016-02-16T06:06:18+08:00",5,5,7,8,4
"118","2016-02-16T07:00:00+08:00","2016-02-16T07:11:18+08:00",8,7,12,9,8
"119","2016-02-16T08:00:00+08:00","2016-02-16T08:11:21+08:00",13,11,13,9,7
"120","2016-02-16T09:00:00+08:00","2016-02-16T09:06:18+08:00",9,12,8,10,8
